9.9517e+41, 6.79562e+42, -1.15095e+42
1.06964e+42, 2.06323e+42, -4.17948e+41
1.08281e+42, 1.15688e+42, -5.2655e+40
1.0581e+42, 9.38538e+41, 1.5465e+41
1.00239e+42, 9.27313e+41, 2.71032e+41
9.21039e+41, 9.88101e+41, 3.34777e+41
8.18018e+41, 1.07224e+42, 3.67446e+41
6.96455e+41, 1.15893e+42, 3.81092e+41
5.59149e+41, 1.23787e+42, 3.826e+41
4.0884e+41, 1.30322e+42, 3.76044e+41
2.48328e+41, 1.35138e+42, 3.63926e+41
8.05176e+40, 1.37997e+42, 3.47842e+41
-9.15833e+40, 1.38749e+42, 3.28845e+41
-2.64896e+41, 1.37308e+42, 3.07657e+41
-4.3631e+41, 1.33645e+42, 2.84783e+41
-6.02738e+41, 1.27779e+42, 2.60591e+41
-7.61165e+41, 1.19779e+42, 2.35354e+41
-9.08706e+41, 1.09758e+42, 2.09284e+41
-1.04266e+42, 9.78668e+41, 1.82545e+41
-1.16058e+42, 8.42972e+41, 1.55271e+41
-1.26027e+42, 6.92725e+41, 1.27573e+41
-1.33989e+42, 5.30453e+41, 9.95463e+40
-1.39797e+42, 3.58922e+41, 7.12738e+40
-1.43341e+42, 1.81079e+41, 4.2831e+40
-1.44556e+42, -1.9542e+27, 1.4288e+40
-1.43416e+42, -1.81176e+41, -1.4288e+40
-1.39942e+42, -3.59306e+41, -4.2831e+40
-1.34196e+42, -5.31304e+41, -7.12738e+40
-1.26285e+42, -6.94204e+41, -9.95463e+40
-1.16351e+42, -8.45216e+41, -1.27573e+41
-1.04577e+42, -9.81784e+41, -1.55271e+41
-9.11782e+41, -1.10163e+42, -1.82545e+41
-7.63978e+41, -1.20281e+42, -2.09284e+41
-6.05039e+41, -1.28375e+42, -2.35354e+41
-4.37836e+41, -1.34326e+42, -2.60591e+41
-2.65369e+41, -1.38059e+42, -2.84783e+41
-9.07139e+40, -1.39546e+42, -3.07657e+41
8.30379e+40, -1.38803e+42, -3.28845e+41
2.52839e+41, -1.359e+42, -3.47842e+41
4.15742e+41, -1.3096e+42, -3.63926e+41
5.68953e+41, -1.24171e+42, -3.76044e+41
7.09886e+41, -1.15803e+42, -3.826e+41
8.36216e+41, -1.0625e+42, -3.81092e+41
9.45955e+41, -9.61258e+41, -3.67446e+41
1.03762e+42, -8.64873e+41, -3.34777e+41
1.1107e+42, -7.94369e+41, -2.71032e+41
1.16739e+42, -7.98522e+41, -1.5465e+41
1.21927e+42, -1.01205e+42, 5.2655e+40
1.3198e+42, -1.9129e+42, 4.17948e+41
1.83904e+42, -6.61731e+42, 1.15095e+42
